AdTypeID;AdvertisedAppIsAutoPromoAllowed;AdvertisedAppOrientation;AdvertisedAppTotalRevenue;AdvertisedAppType;AllowCPABid;AllowCPCBid;AllowCPIBid;AllowCPMBid;AmountEuros;AppAdvertisedID;AppOriginCategoryID;AppOriginID;CampTypeDescription;CompletionRate;ConnTypeName;CostPerClickBid;CostPerDownloadBid;CostPerViewBid;CountryDescription;CountryName;CPMBid;DailyFrequencyCap;DisplayRank;earnings;EndDate;ID;IsPublisherCompany;IsS2SIntegration;IsWebFilterAvailable;nbClicks;NbCrossPromoDisplaysEarned;NbCrossPromoDisplaysLeft;nbCVVs;nbDisplays;nbInstalls;nbLeads;nbNewUsers;nbRequests;nbSessions;Priority;PublisherID;spendings;StartDate;StatTime;OriginalAppType;OriginalAppOrientation;OriginalAppTotalRevenue;FillRate;CPI;CPM
3;2;2;9222,97;1;1;1;1;1;0;2272;11;2241;Full screen interstitial (in-app);0;WIFI;0,1;0;0;;UNITED STATES;0;2;1;0;01/01/2100 00:00;2440;1;0;1;4;0;0;0;0;0;0;0;0;0;0;906;0;18/01/2016 00:00;25/01/2016 00:00;1;3;7751,88;0;0;0
3;2;2;9222,97;1;1;1;1;1;0;2272;11;2241;Full screen interstitial (in-app);0;Hspa (3G+);0,1;0;0;;GERMANY;0;2;1;0;01/01/2100 00:00;2440;1;0;1;0;0;0;0;25;0;0;0;25;0;0;906;0;18/01/2016 00:00;25/01/2016 00:00;1;3;7751,88;100;0;0
3;2;2;9222,97;1;1;1;1;1;0;2272;11;2241;Full screen interstitial (in-app);0;Hspa (3G+);0,1;0;0;;UNITED STATES;0;2;1;0;01/01/2100 00:00;2440;1;0;1;0;0;0;0;79;0;0;0;79;0;0;906;0;18/01/2016 00:00;25/01/2016 00:00;1;3;7751,88;100;0;0
3;2;2;9222,97;1;1;1;1;1;0;2272;11;2241;Full screen interstitial (in-app);0;Edge (2.5G);0,1;0;0;;UNITED STATES;0;2;1;0;01/01/2100 00:00;2440;1;0;1;2;0;0;0;0;0;0;0;0;0;0;906;0;18/01/2016 00:00;25/01/2016 00:00;1;3;7751,88;0;0;0
3;2;2;9222,97;1;1;1;1;1;0;2272;11;2241;Full screen interstitial (in-app);0;Hspa (3G+);0,1;0;0;;ITALY;0;2;1;0;01/01/2100 00:00;2440;1;0;1;0;0;0;0;11;0;0;0;11;0;0;906;0;18/01/2016 00:00;25/01/2016 00:00;1;3;7751,88;100;0;0
3;2;2;9222,97;1;1;1;1;1;0;2272;11;2241;Full screen interstitial (in-app);0;Hspa (3G+);0,1;0;0;;NEW ZEALAND;0;2;1;0;01/01/2100 00:00;2440;1;0;1;0;0;0;0;3;0;0;0;3;0;0;906;0;18/01/2016 00:00;25/01/2016 00:00;1;3;7751,88;100;0;0
3;2;2;9222,97;1;1;1;1;1;0;2272;11;2241;Full screen interstitial (in-app);0;Edge (2.5G);0,1;0;0;;GERMANY;0;2;1;0;01/01/2100 00:00;2440;1;0;1;1;0;0;0;0;0;0;0;0;0;0;906;0;18/01/2016 00:00;25/01/2016 00:00;1;3;7751,88;0;0;0
3;2;2;9222,97;1;1;1;1;1;0;2272;11;2241;Full screen interstitial (in-app);0;WIFI;0,1;0;0;;GERMANY;0;2;1;0;01/01/2100 00:00;2440;1;0;1;1;0;0;0;0;0;0;0;0;0;0;906;0;18/01/2016 00:00;25/01/2016 00:00;1;3;7751,88;0;0;0
3;2;2;9222,97;1;1;1;1;1;0;2272;11;2241;Full screen interstitial (in-app);0;Hspa (3G+);0,1;0;0;;CANADA;0;2;1;0;01/01/2100 00:00;2440;1;0;1;0;0;0;0;29;0;0;0;29;0;0;906;0;18/01/2016 00:00;25/01/2016 00:00;1;3;7751,88;100;0;0
3;2;2;9222,97;1;1;1;1;1;0;2272;11;2241;Full screen interstitial (in-app);0;WIFI;0,1;0;0;;ITALY;0;2;1;0;01/01/2100 00:00;2440;1;0;1;1;0;0;0;0;0;0;0;0;0;0;906;0;18/01/2016 00:00;25/01/2016 00:00;1;3;7751,88;0;0;0
3;2;2;9222,97;1;1;1;1;1;0;2272;11;2241;Full screen interstitial (in-app);0;WIFI;0,1;0;0;;UNITED KINGDOM;0;2;1;0;01/01/2100 00:00;2440;1;0;1;1;0;0;0;0;0;0;0;0;0;0;906;0;18/01/2016 00:00;25/01/2016 00:00;1;3;7751,88;0;0;0
3;2;2;9222,97;1;1;1;1;1;0;2272;11;2241;Full screen interstitial (in-app);0;Hspa (3G+);0,1;0;0;;AUSTRALIA;0;2;1;0;01/01/2100 00:00;2440;1;0;1;0;0;0;0;12;0;0;0;12;0;0;906;0;18/01/2016 00:00;25/01/2016 00:00;1;3;7751,88;100;0;0
3;2;2;9222,97;1;1;1;1;1;0;2272;11;2241;Full screen interstitial (in-app);0;Hspa (3G+);0,1;0;0;;UNITED KINGDOM;0;2;1;0;01/01/2100 00:00;2440;1;0;1;0;0;0;0;26;0;0;0;26;0;0;906;0;18/01/2016 00:00;25/01/2016 00:00;1;3;7751,88;100;0;0
3;2;2;9222,97;1;1;1;1;1;0;2272;11;2241;Full screen interstitial (in-app);0;WIFI;0,1;0;0;;CANADA;0;2;1;0;01/01/2100 00:00;2440;1;0;1;1;0;0;0;0;0;0;0;0;0;0;906;0;18/01/2016 00:00;25/01/2016 00:00;1;3;7751,88;0;0;0
